127.0.0.1, 2015-06-21 20:27:29, GET, /, HTTP/1.1, 303, 0.033434
127.0.0.1, 2015-06-21 20:27:29, GET, /welcome/default/index, HTTP/1.1, 200, 0.847655
127.0.0.1, 2015-06-21 20:27:30, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000922
127.0.0.1, 2015-06-21 20:27:30, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.000930
127.0.0.1, 2015-06-21 20:27:30, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000921
127.0.0.1, 2015-06-21 20:27:30, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001885
127.0.0.1, 2015-06-21 20:27:30, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.006432
127.0.0.1, 2015-06-21 20:27:30, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.005626
127.0.0.1, 2015-06-21 20:27:30, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.003737
127.0.0.1, 2015-06-21 20:27:30, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.017009
127.0.0.1, 2015-06-21 20:27:30, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.007565
127.0.0.1, 2015-06-21 20:27:30, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.005616
127.0.0.1, 2015-06-21 20:27:30, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.014509
127.0.0.1, 2015-06-21 20:27:30, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.001232
127.0.0.1, 2015-06-21 20:27:30, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.004180
127.0.0.1, 2015-06-21 20:27:30, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.004292
127.0.0.1, 2015-06-21 20:27:30, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.002266
127.0.0.1, 2015-06-21 20:27:31, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff, HTTP/1.1, 200, 0.000962
127.0.0.1, 2015-06-21 20:27:31, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.002439
127.0.0.1, 2015-06-21 20:27:31, GET, /welcome/static/images/favicon.png, HTTP/1.1, 200, 0.001159
127.0.0.1, 2015-06-21 20:27:33, GET, /admin/default/index, HTTP/1.1, 200, 0.555801
127.0.0.1, 2015-06-21 20:27:33, GET, /admin/static/_2.11.2/js/jquery.js, HTTP/1.1, 200, 0.016471
127.0.0.1, 2015-06-21 20:27:33, GET, /admin/static/_2.11.2/css/calendar.css, HTTP/1.1, 200, 0.003487
127.0.0.1, 2015-06-21 20:27:33, GET, /admin/static/_2.11.2/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.011456
127.0.0.1, 2015-06-21 20:27:33, GET, /admin/static/_2.11.2/js/web2py.js, HTTP/1.1, 200, 0.009380
127.0.0.1, 2015-06-21 20:27:33, GET, /admin/static/_2.11.2/js/calendar.js, HTTP/1.1, 200, 0.002463
127.0.0.1, 2015-06-21 20:27:33, GET, /admin/static/_2.11.2/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.001480
127.0.0.1, 2015-06-21 20:27:33, GET, /admin/static/_2.11.2/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.007488
127.0.0.1, 2015-06-21 20:27:33, GET, /admin/static/_2.11.2/css/bootstrap.min.css, HTTP/1.1, 200, 0.007296
127.0.0.1, 2015-06-21 20:27:33, GET, /admin/static/_2.11.2/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.003786
127.0.0.1, 2015-06-21 20:27:33, GET, /admin/static/_2.11.2/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001395
127.0.0.1, 2015-06-21 20:27:33, GET, /admin/static/_2.11.2/js/bootstrap.min.js, HTTP/1.1, 200, 0.004198
127.0.0.1, 2015-06-21 20:27:33, GET, /admin/static/_2.11.2/plugin_multiselect/start.js, HTTP/1.1, 200, 0.008039
127.0.0.1, 2015-06-21 20:27:33, GET, /admin/static/_2.11.2/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.011301
